iter	RMSE
0	0.6388641877
1	0.5801337103
2	0.5245281029
3	0.4769730802
4	0.4366221046
5	0.4013918013
6	0.3696178952
7	0.3415338843
8	0.3158879886
9	0.2926565868
10	0.2741895921
11	0.2561116343
12	0.239884276
13	0.2246022692
14	0.2093286747
15	0.2004539424
16	0.1890778291
17	0.1783048898
18	0.1712495063
19	0.1621244903
20	0.1543725057
21	0.1459543076
22	0.1389991477
23	0.1337325382
24	0.1286113172
25	0.1254125753
26	0.1210023628
27	0.1155163205
28	0.111345101
29	0.1081641638
30	0.1041624214
31	0.1007948619
32	0.09787516539
33	0.09570784268
34	0.09297722473
35	0.09109357374
36	0.08914639669
37	0.08730861662
38	0.08564551706
39	0.08369861179
40	0.08231127653
41	0.08129653486
42	0.0800764283
43	0.07881415397
44	0.07765354874
45	0.07624165941
46	0.07479675441
47	0.07385014899
48	0.07295240304
49	0.0720511789
50	0.07145330466
51	0.07075782737
52	0.07031771855
53	0.06975297014
54	0.06839612506
55	0.06784000811
56	0.06744015201
57	0.06711084728
58	0.06629663316
59	0.06562624013
60	0.06509836047
61	0.06411956903
62	0.06372643504
63	0.06339777519
64	0.06288054871
65	0.06258837689
66	0.06198548202
67	0.06156618916
68	0.06114591263
69	0.06072880032
70	0.06018949503
71	0.05943234167
72	0.0588015929
73	0.05865762391
74	0.05824288158
75	0.05789485642
76	0.05775714671
77	0.05766818773
78	0.05748896809
79	0.05708296675
80	0.05689529656
81	0.05661191832
82	0.05636953531
83	0.05611105614
84	0.05569463447
85	0.05543711024
86	0.05522809368
87	0.05500798042
88	0.05482025523
89	0.05478049439
90	0.05473793054
91	0.05443528944
92	0.05426971041
93	0.0540324798
94	0.05393807315
95	0.05375419664
96	0.05350624083
97	0.05322980815
98	0.05319397271
99	0.0530003882
100	0.05297472282
101	0.05286084099
102	0.05283451139
103	0.05270755217
104	0.05268024567
105	0.05230949743
106	0.05222099999
107	0.05213873309
108	0.05182168152
109	0.05167697032
110	0.05145130819
111	0.05126788768
112	0.05117876027
113	0.05115846941
114	0.05107823405
115	0.05096858339
116	0.05072471031
117	0.05070498839
118	0.05068250874
119	0.05058999333
120	0.05038861018
121	0.05030953777
122	0.05023581104
123	0.05021502558
124	0.05015037583
125	0.05013335544
126	0.04994879317
127	0.0498199046
128	0.0497503254
129	0.04968830201
130	0.04967285754
131	0.0496595661
132	0.04965436031
133	0.04960634791
134	0.04949481311
135	0.04934067206
136	0.04927510274
137	0.04921380677
138	0.04917983694
139	0.04911707226
140	0.04900271098
141	0.0489452002
142	0.04879960891
143	0.04873706568
144	0.04865980002
145	0.04852102395
146	0.04845535741
147	0.04842562815
148	0.0483349224
149	0.0482701729
150	0.04825580193
151	0.04820162347
152	0.04810256618
153	0.04796786143
154	0.0479100402
155	0.04785038638
156	0.04779923938
157	0.04775116238
158	0.04762596083
159	0.04759032295
160	0.04754488944
161	0.04753187006
162	0.04749333092
163	0.04745118871
164	0.04741834429
165	0.04733132667
166	0.04728661038
167	0.04715149114
168	0.04708966904
169	0.04701327411
170	0.04690912872
171	0.04686681464
172	0.04670064148
173	0.04666228928
174	0.04654120207
175	0.0463817739
176	0.04632402486
177	0.04630666315
178	0.04628583248
179	0.04613901872
180	0.04610250947
181	0.04607900553
182	0.04606573994
183	0.04603859327
184	0.04590302536
185	0.04587472229
186	0.04582895063
187	0.04578678704
188	0.04567504907
189	0.04566578314
190	0.04552700132
191	0.04542630622
192	0.04536329598
193	0.04535478099
194	0.04531240286
195	0.04527045118
196	0.04523704107
197	0.04520183051
198	0.04516871464
199	0.04513719516
